Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
CouchDB sorting and filtering in the same view;;;;
Database EAV Pros/Cons and Alternatives;"Have a look at posgtres  hstore http://www.postgresql.org/docs/9.0/static/hstore.html
this will do exactly what you want without most of the disadvantages";;;2
Do NoSQL databases use or need indexes?;Definitely nosql databases need index,;;;2
File Storage for Web Applications: Filesystem vs DB vs NoSQL engines;maybe a hybrid solution.;;;4
Should I use redis to store a large number of binary files? [closed];;;;
Mongoose populate embedded;in Mongoose 4 you can populate multilevel like this (even in different database or instance);;;34
Redis,distributed or not?;Here is a useful link, Redis Cluster Tutorial:;;;2
Does MongoDB support floating point types?;Chris already provided information about floating point types, so I will just add information about Decimal data type that was added in Mongo 3.4;;;7
"Why don't you start off with a ""single & small"" Cassandra server as you usually do it with MySQL?";The short answer is you absolutely can start with a single, small node.;;;15
MongoDB: How to get distinct list of sub-document field values?;with the help aggregation framework:;;;6
Graph DBs vs. Document DBs vs. Triplestores;Just a small correction to amk answer: Tinkerpop also contains an adaptor for ArangoDB, see https://github.com/triAGENS/blueprints-arangodb-graph/wiki/Gremlin. So you can use Gremlin queries with ArangoDB.;;;11
What .NET-compatible graph database solution(s) have a proven track record?;New/recent/unmentioned discovery:  VelocityDB  which is a native .net implementation!;;;3
WHERE clause on an array in Azure DocumentDb;I think the ARRAY_CONTAINS function has changed since this was answered in 2014. I had to use the following for it to work.;NicholasNicholas;            53244 silver badges1717 bronze badges;9
What does it mean that Azure Cosmos DB is multi-model?;Cosmos DB at its heart is a geographically distributed database with its own Atom-Record-Sequence storage engine and index. On top of that infrastructure we are able to implement many different kinds of stores, from SQL like stores using our SQL API, to Mongo, to Cassandra, to Gremlin, to an implementation of Azure Table storage and so on.;;;17
Am I missing something about Document Databases?;I'd say that the number one thing you're overlooking (at least based on the content of the post) is that document databases are not meant to replace relational databases.  The example you give does, in fact, work really well in a relational database.  It should probably stay there.  Document databases are just another tool to accomplish tasks in another way, they're not suited for every task.;;;9
Using a Filesystem (Not a Database!) for schemaless Data - Best Practices;One thing you may want to take into consideration is Oracle's BFILE datatype, which is a pointer to a file on disk.  Perhaps that might be the best of both worlds?  Microsoft SQL server doesn't seem to offer this capability.;;;0
A timeout occured after 30000ms selecting a server using CompositeServerSelector;I am replacing the connection string method in like below.;Ragesh SRagesh S;            3,8191313 gold badges9999 silver badges131131 bronze badges;20
NoSQL Solution for Persisting Graphs at Scale;"There is a SQLlite3 backed NetworkX implementation called Cloudlight.
https://www.assembla.com/spaces/cloudlight/wiki/Tutorial";;;5
DynamoDB query on boolean key;;;;
Saving numpy array in mongodb;"The code pymongo.binary.Binary(...) didnt work for me, may be we need to use bson as
@tcaswell suggested.";SomumSomum;            2,0822424 silver badges1313 bronze badges;7
What's the difference between NoSQL and a Column-Oriented database?;Some NoSQL databases are column-oriented databases, and some SQL databases are column-oriented as well.  Whether the database is column or row-oriented is a physical storage implementation detail of the database and can be true of both relational and non-relational (NoSQL) databases.;;;8
Neo4j - How to delete unused property keys from browser?;What version of Neo4j are you using? Prior to to version 2.3 there is a file named keystore in the data/ directory that was used to populate this in the browser. Deleting this file will clear out the Labels, Relationship Types, and Property Keys listed in the browser.;;;1
Working with nested single queries in Firestore;;;;
Redis-cli - Selecting which instance?;Try this Redis GUI management tool, it also have console support - http://redisdesktop.com/;Shan ValleruShan Valleru;            3,03711 gold badge1919 silver badges2020 bronze badges;1
MongoDB and PostgreSQL thoughts;Let's quote what you wrote and see what it tells us:;;;14
How to make a UUID in DynamoDB?;Another approach is to use a UUID generator for primary keys, as these are highly unlikely to clash.;;;13
Query on Mongoid Hash Field;;;;
What does being schema-less mean for a NoSQL Database?;A bit late in the day but while searching on the topic again I found this article;;;3
Understanding mongo db explain;;;;
Database for super-fast querying [closed];I'm not sure I would agree that the traditional SQL databases can not handle these volumes, I can query through much larger datasets within those timeframes, but it has been designed specifically to handle that kind of work and placed on suitable hardware, specifically an IO subsystem that is designed to handle large data requests.;;;16
How to load initial data in MongoDB?;You can use the mongoimport tool that comes with MongoDB to import raw data.;;;19
Recommended NoSQL Database for use with Python [closed];I like mongodb.  Basically you can just throw a dictionary into a database, which makes it very easy to use from python.  I haven't seen a consensus on one specific nosql database.  I would suggest trying a couple of them.  Redis is pretty neat and couchdb is in the mix.;;;14
Best solution for finding 1 x 1 million set intersection? Redis, Mongo, other;this might be helpful:;;;6
Redis as Hibernate second level cache;"Just found a github project on it. https://github.com/debop/hibernate-redis
I think it's already done. It's missing some documentation.
EDIT: Just found a better repository, with better documentation. https://github.com/Jongtae/hibernate-redis";digao_mbdigao_mb;            1,2641616 silver badges2121 bronze badges;5
